Video_ID,Channel_ID,Channel Name,Subscriber Count,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster,Channel_Weight
SLq86U68qO8,UCSvaH7DbguYJcp8PHTTv1Zw,Bigg World Cinema,34000.0,1.43,0.6,0.02,0.6499999999999999,0.18,0.27,0.46,0.085,0.24,0.0,0.24,0.0,0.78,0.26,0.045,0.64,0.085,1.0,0.00019278924366943303
SMXEN03ymko,UCuDJlOZRQyZgmRdLmrsXwRw,Joachim Reyes,448.0,,,,,,,,,,,,,,,,,,,0.0010924723807934538
SMgDD-197xo,UCU03NklypYW1AAIoNE2Vh1g,Jeanelleats,1900000.0,,,,,,,,,,,,,,,,,,,0.0002341012244557401
SMgrOzLfPe8,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,311000.0,,,,,,,,,,,,,,,,,,,2.621933713904289e-05
SOAIc9ONdb4,UCNMCLJlFSqiUb1EnXII3zhQ,Harees Ameerali - Royal Sky Holidays,986000.0,0.99,0.29,0.86,1.87,0.685,1.57,0.215,0.84,0.34,0.0,1.19,0.0,0.0,1.18,1.325,0.0,0.09,1.0,0.00036415746026448456
SPWdJ9CQWns,UCuNaiEm7eKFj6E_S_IcfeOg,Sam Fujin,67.0,,,,,,,,,,,,,,,,,,,0.0010924723807934538
SQaCcZjsEKE,UCi9mzS8H-ez_30w5SCL2dmw,JREKML,1210000.0,,,,,,,,,,,,,,,,,,,6.827952379959086e-05
SQzmJ7lSvHk,UCpL_tis0ertYh2DSOiCm51g,World Nomac,751000.0,2.91,3.73,0.0,1.99,0.0,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,0.41,1.12,0.47,0.22,2.0,0.00020483857139877258
SR3MF-ZAvB0,UCnIG77gLrKwxZ-j0YhmstcA,Tales of Odyssey,43900.0,0.81,0.68,1.71,0.485,0.765,1.08,0.72,0.72,0.705,0.92,0.0,0.145,0.56,0.02,1.095,0.675,0.6900000000000001,1.0,0.0010924723807934538
SUNE9Kflopg,UCN6ssBUC5PNYUN9aG-iiA2A,A Day in the UK,5630.0,0.5499999999999999,0.02,0.8433333333333333,0.7833333333333333,0.7566666666666667,1.2333333333333334,0.6933333333333334,0.8633333333333333,0.9866666666666668,0.9866666666666668,0.2166666666666666,0.1999999999999999,0.5033333333333333,0.2766666666666666,0.57,0.0,0.0066666666666666,1.0,0.0010924723807934538
SW4AldBdyk8,UCRzBNJTsBe2rq6pkyXeaj1A,TriFate Lifestyle,161000.0,1.56,0.65,0.96,0.6950000000000001,1.455,0.715,0.45,1.62,1.615,1.5750000000000002,0.41,0.315,0.355,0.1699999999999999,1.86,0.255,0.1,0.0,0.0001724956390726506
SaMR6tkhh_M,UCuoZLURMs4av8y-n80eviFw,K-Pop Vocal Coach,286000.0,0.905,0.36,0.185,0.705,0.5,1.24,0.615,1.5750000000000002,0.745,1.11,0.19,0.0,1.335,0.0,0.65,0.03,0.44,1.0,0.0008193542855950903
SaiDP96j2P8,UCLQ1V9BthBBZA_mE3QV18eA,Milky Coffee,1530.0,2.19,2.57,0.0,0.57,2.52,0.28,0.0,1.2,3.69,1.85,0.0,2.02,0.65,1.77,0.0,0.0,0.06,0.0,0.0005462361903967269
SbWJwoz4n_I,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,311000.0,,,,,,,,,,,,,,,,,,,2.621933713904289e-05
Sbck87afvGU,UC-wdvwNBuVobJRbISwjA5Hw,Alex Oh Reacts,179000.0,,,,,,,,,,,,,,,,,,,0.0010924723807934538
SbdM8xETci4,UC9b5vUlohoM_Gli7NKzpHkg,The Eftimies,11700.0,,,,,,,,,,,,,,,,,,,0.0008193542855950903
SbxqHAg87Yo,UCmlfCI87gCasxVQR1_Y_DqQ,Red Zone Mindanao ,5570.0,,,,,,,,,,,,,,,,,,,0.0010924723807934538
SgpzJ9peq0Q,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,1230000.0,0.5640000000000001,0.0,0.38,0.49,0.244,0.714,0.0,0.662,0.92,0.578,0.264,0.718,0.626,0.004,0.138,0.176,0.154,1.0,2.074314647076178e-05
SgrfCgr4cyU,UCcAd5Np7fO8SeejB1FVKcYw,Best Ever Food Review Show,11600000.0,0.33,0.27,0.0,2.16,0.0,0.0,0.05,0.28,0.0,0.21,0.33,1.15,0.0,0.43,0.37,1.49,0.0,1.0,0.0006554834284760723
Sjv1PS6UufI,UC9DwgmJc-uKnxGavukOy_6w,Aaron Around,9540.0,,,,,,,,,,,,,,,,,,,0.00016387085711901808
Sm78MYy2Mds,UCLPLXSPgySkBypwpi6BrMwg,Jessica Lee,1680000.0,,,,,,,,,,,,,,,,,,,0.0002521090109523355
SoYGZUnE-Iw,UCJsUPQs-NSevvUxKmtvdQxw,International Jasper 🇵🇭,56800.0,,,,,,,,,,,,,,,,,,,0.0006554834284760723
Sp2TPxvzKx8,UC9KcolSfd2YgFOiV9X3RAoQ,Mai Vibes,3850.0,,,,,,,,,,,,,,,,,,,0.0016387085711901807
SpIeqCNKrMQ,UCO5Jeark1e_JP36mY3ua19g,The Commodity,98300.0,0.7142857142857143,0.0714285714285714,0.2071428571428571,0.2971428571428571,0.7914285714285715,1.2414285714285715,0.38,0.3742857142857143,0.79,0.8914285714285715,0.4071428571428571,0.3085714285714285,0.9257142857142858,0.26,0.5228571428571429,0.4871428571428571,0.2571428571428571,1.0,6.18380592901955e-05
SqNw_SMrIQA,UCzuqE7-t13O4NIDYJfakrhw,Democracy Now!,2930000.0,1.0433333333333332,0.8633333333333334,0.41,0.11,0.18,0.3633333333333333,0.3033333333333333,0.0,0.1833333333333333,0.3033333333333333,0.7000000000000001,0.0,0.51,0.0,0.1766666666666666,0.85,0.7799999999999999,1.0,0.0010924723807934538
SrDm7kh_9wI,UCO6nDCimkF79NZRRb8YiDcA,Storied,1000000.0,,,,,,,,,,,,,,,,,,,0.0010924723807934538
Ss4sYHi7XZg,UC_DmOS_FBvO4H27U7X0OtRg,Fearless & Far,3030000.0,1.3266666666666669,0.47,0.0433333333333333,0.44,1.8733333333333333,1.403333333333333,0.3166666666666666,1.15,2.21,0.9866666666666668,0.0,0.0,0.96,0.0033333333333333,2.356666666666667,0.2033333333333333,0.0933333333333333,0.0,0.00032774171423803616
SsVMg3s2Ccg,UCKd9gq6eJCV7j5FO75q2_Fg,Frank,23800.0,,,,,,,,,,,,,,,,,,,0.0002979470129436692
StxUFN2tlDA,UCGtalU8FOYyLRcooDSUJ9aA,Marichu Baloro,9200.0,,,,,,,,,,,,,,,,,,,0.0016387085711901807
SuMb7QO8vh8,UCCb-6a1Fakv4QzwC2c-3vAg,Pinoy Luka,89000.0,,,,,,,,,,,,,,,,,,,0.0008193542855950903
SuWQAVOUikY,UCoWQLZoPwn3mJ-oiPrwDpbA,Living abroad,163000.0,,,,,,,,,,,,,,,,,,,6.554834284760723e-05
Sumub2tRXro,UCoWQLZoPwn3mJ-oiPrwDpbA,Living abroad,163000.0,,,,,,,,,,,,,,,,,,,6.554834284760723e-05
SutFZNd73qU,UCKie0svsFyBBsKaQIA4hx-w,American Entrepreneur in the Philippines,9850.0,0.505,0.0,0.8049999999999999,0.37,0.39,0.655,0.0,1.34,0.525,0.0,1.84,0.17,1.6,0.115,0.95,0.61,0.265,1.0,0.00020483857139877258
SvGbt99BHEg,UCpi8TJfiA4lKGkaXs__YdBA,The Try Guys,7920000.0,0.405,1.295,0.95,1.6949999999999998,0.87,1.19,0.225,1.7000000000000002,1.555,0.99,1.04,0.055,0.485,0.185,2.82,0.31,0.33,0.0,0.0008193542855950903
SvVELQ6_7PI,UCKjpl5dlRUP4C1qJCoHh-CA,BuzzFeedOz,225000.0,0.015,0.0,1.365,0.41,1.825,2.04,1.25,1.635,1.14,0.76,0.495,1.235,0.0,0.3249999999999999,0.7,1.04,0.665,0.0,0.0008193542855950903
