Video_ID,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster,View Count,Like Count,Comment Count
_o75JPAZM1c,0.7766666666666667,0.3899999999999999,1.02,1.0366666666666668,0.2066666666666666,0.5399999999999999,0.0,0.53,0.69,1.4633333333333332,0.47,0.6633333333333333,0.7333333333333334,0.4200000000000001,0.61,0.59,0.99,1,229923,6654,609
_pKWT4ZcobQ,1.42,0.38,1.285,0.0,0.855,2.065,0.765,1.95,0.83,0.0,0.475,1.345,0.72,0.43,0.0,0.18,0.0,1,169661,3021,192
_q5xGr3Hs04,0.12,0.0,0.0,0.02,1.745,1.085,0.2,1.235,2.805,0.845,0.035,0.0,0.14,0.0,1.905,0.035,0.0,0,5716,313,58
_qWi95cDlAA,0.68,0.0425,0.1325,0.8125,1.3825,1.2875,0.4625,1.09,0.9975,0.5175,0.4475,0.3399999999999999,1.2575,1.1525,1.4500000000000002,0.645,0.0,1,41243,1431,291
_qZsmW5IW20,1.62,1.31,0.0,0.78,1.14,1.87,0.0,3.97,2.64,1.79,0.45,0.0,0.76,0.0,2.08,0.0,0.36,0,18715,1343,105
_qoxcsCD7kw,0.0,0.0,4.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.5,0.36,0.0,0.0,0.0,0.11,2.14,1,84363,2229,167
_sR1cALLCVg,0.0,0.0,0.0,0.0,2.53,1.07,0.0,1.81,2.5,1.76,0.66,0.98,0.89,0.0,0.87,0.07,0.0,0,2330,56,31
_ximeemA3OI,0.9325,0.3125,1.4575,0.4525,0.28,0.6975,0.0,0.7025,0.8525,0.34,0.39,0.485,1.4525,0.01,0.4349999999999999,0.61,0.105,1,4534539,60905,5311
_xuMLlPPhtc,2.05,2.89,0.0,1.92,0.52,0.0,0.0,0.0,1.24,0.55,0.0,0.0,0.05,0.03,1.97,1.22,0.0,2,607388,10621,732
a0Yr4CejPXg,0.5066666666666667,0.4433333333333333,0.0033333333333333,0.75,0.9066666666666666,0.7233333333333333,0.13,0.8666666666666667,0.45,1.2833333333333334,0.15,0.2633333333333333,0.0033333333333333,0.0,1.0599999999999998,0.2833333333333333,0.0,1,68858,2347,196
a1Pd3XPaAuE,0.685,0.0033333333333333,0.1083333333333333,1.0983333333333334,0.4933333333333333,0.43,0.1366666666666667,1.1483333333333334,0.955,0.7983333333333333,0.3216666666666667,0.84,0.5416666666666666,0.3516666666666666,0.6983333333333333,1.085,0.445,1,1391869,45425,2725
a1g3kt4XLfo,0.0,0.0,0.1,0.0,0.895,0.55,0.055,0.8800000000000001,2.115,1.06,0.0,0.0,0.18,0.0,1.81,0.525,0.0,0,70454,3056,388
a1jF-AokfCQ,1.0725,0.3,0.6725,0.3025,0.5974999999999999,1.4575,0.5175,0.7,0.55,0.4075,0.0525,0.0,0.5275,0.1325,0.7925,0.7274999999999999,0.04,1,2031133,58341,0
a8kwJYMSyFI,0.72,0.0,0.355,0.24,1.42,2.055,1.15,0.495,0.31,1.16,0.445,0.35,0.8799999999999999,0.14,0.315,0.3349999999999999,1.005,1,52809,2181,226
a9PyRuEJlbM,0.95,0.98,0.0,0.22,0.0,0.0,0.0,0.0,0.36,0.08,0.17,0.0,0.0,0.12,0.0,0.0,0.0,1,231,10,7
a9ss9hxdc_g,1.885,2.565,0.085,2.19,0.0,0.0,0.0,0.1649999999999999,0.14,0.065,0.06,0.0,0.0,0.0,1.54,0.19,0.04,2,75136,3908,174
aA8hpFdp8rk,0.21,0.0,0.0,0.0,0.72,0.93,1.19,1.35,1.53,2.14,0.0,0.0,0.32,0.0,0.54,0.11,0.03,0,731,0,17
aBBKBpmtfTU,0.335,0.0,0.76,0.0,1.99,1.38,1.285,2.06,2.02,1.62,0.3,0.0,0.375,0.165,2.815,1.365,1.32,0,238890,8011,241
aDAR65Fcp7E,0.7,0.0,1.45,0.1,0.05,0.08,0.39,0.48,1.23,1.86,0.0,0.64,0.42,0.03,0.03,0.0,0.25,1,977,32,0
aDMij0Q5trA,2.08,0.05,0.39,1.52,1.32,2.69,0.0,0.98,1.13,0.34,1.46,0.5,1.61,0.0,0.0,0.0,0.02,1,7219,419,60
aHXJvqCqhyc,0.6,0.3142857142857143,0.6228571428571428,0.8200000000000001,0.33,0.51,0.27,0.6185714285714285,0.38,0.5057142857142857,0.2485714285714285,0.2757142857142857,0.1457142857142857,0.0,0.5242857142857142,0.5157142857142857,0.0,1,149379,4554,166
aIOMYGTHqqA,0.0,0.29,1.29,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,1.7,0.0,1,833620,20536,1116
