Video_ID,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster
p1LaUfLyYpQ,0.955,0.1,0.74,0.58,1.715,2.235,0.505,0.95,1.855,0.75,0.175,0.42,0.06,0.105,1.21,0.0,0.345,0
p2azeYV3YN8,0.71,0.24,0.0,1.85,1.14,1.09,0.0,2.48,2.97,2.05,0.0,0.0,0.81,0.0,3.55,1.16,0.0,0
p5hF3mbtswo,1.11,0.23,2.65,0.2,3.17,0.98,2.9,3.49,2.22,1.27,0.0,0.0,0.24,0.0,4.23,0.59,0.0,0
p5hraaDYPM8,1.31,0.03,1.05,0.0,1.17,1.07,2.43,1.9,0.24,1.24,0.16,0.61,0.81,0.0,0.34,0.0,0.0,0
p7unyZ4U1HA,0.95,1.13,0.0,1.74,0.33,0.0,0.32,1.36,0.37,0.66,0.99,0.89,0.77,0.0,0.0,0.0,0.01,1
p8RR0srNNDw,0.33,0.06,0.0,0.11,0.55,0.52,0.855,0.6,0.72,1.155,0.355,0.865,0.785,0.035,0.005,0.145,0.035,1
pAyhlW6r84M,0.0,0.0,0.0,0.81,0.0,0.0,0.2,0.35,0.63,0.23,0.0,0.44,0.32,0.0,0.04,0.3,0.0,1
pCxtEYH9I84,0.05,0.01,0.0,0.38,0.24,0.0,0.0,0.0,0.15,0.0,1.54,0.45,0.0,1.39,0.0,0.0,0.0,1
pDvS1mifo2o,0.639,0.286,0.217,1.5470000000000002,0.022,0.258,0.18,0.747,0.4019999999999999,0.371,0.161,0.092,0.015,0.057,0.783,0.998,0.228,1
pIhJ6PLKelg,0.6783333333333333,0.1683333333333333,0.4216666666666667,0.7583333333333334,0.5083333333333333,0.96,0.3683333333333333,1.12,0.87,1.0666666666666669,0.585,0.175,1.0,0.4333333333333333,0.5033333333333333,0.9116666666666666,0.2383333333333333,1
pKNo_mP-2dc,1.355,0.3075,0.555,1.2325,0.605,1.09,0.5725,0.525,0.38,0.435,0.3875,0.2975,0.6325000000000001,0.0325,1.0525,1.0125,0.475,1
