Source,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
 -d0IuFXS8Ws.csv,0.89,1.69,0.63,2.94,0.32,0.8,0.0,0.01,0.42,0.0,0.46,0.0,0.0,0.0,3.14,0.68,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
 -d0IuFXS8Ws.csv,0.49,0.0,0.0,0.83,1.07,1.24,0.0,2.2,2.04,0.0,0.19,0.0,0.0,0.0,2.34,0.18,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
 -DNUgid1yik.csv,1.39,0.95,0.31,1.25,0.16,0.0,0.87,0.15,0.63,1.28,0.0,0.0,0.26,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 -DNUgid1yik.csv,3.07,4.02,0.37,2.84,0.0,0.0,0.0,1.5,1.6,0.91,0.0,0.45,0.57,0.0,2.06,0.7,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 -E2Qm5MhU8w.csv,0.89,0.05,0.0,0.0,1.99,0.0,0.79,1.15,1.69,1.26,1.26,2.57,2.44,0.0,1.57,0.0,3.77,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
 -f2Q1V2NA_w.csv,0.12,0.0,0.25,0.0,1.68,2.77,0.18,2.12,3.06,1.07,0.0,0.0,0.36,0.0,3.05,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 -f2Q1V2NA_w.csv,0.0,0.0,0.04,0.87,0.75,2.34,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,1.16,1.39,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
 -F6GwSrtXhM.csv,1.32,0.0,0.81,0.22,0.32,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.89,0.04,0.83,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
 -F6GwSrtXhM.csv,0.0,0.0,0.5,0.0,1.9,3.01,0.57,1.4,1.85,0.99,0.0,0.0,0.71,0.0,2.94,1.43,0.59,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
 -FBmCITGFD4.csv,0.05,0.13,0.0,0.0,0.0,2.1,0.49,0.53,0.35,0.0,0.0,0.0,0.0,0.0,2.74,0.47,0.55,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
 -FBmCITGFD4.csv,0.42,0.0,0.0,0.0,2.29,2.87,0.45,2.13,3.11,1.66,0.89,0.0,0.0,0.0,2.31,0.93,1.28,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
 -FBmCITGFD4.csv,0.16,0.0,0.27,0.0,2.93,3.84,0.55,3.09,2.82,1.08,0.0,0.0,0.0,0.0,3.38,0.53,0.85,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
 -FBmCITGFD4.csv,0.0,0.0,1.26,0.0,1.34,3.28,0.93,0.0,0.8,0.48,0.1,0.0,0.64,0.0,1.31,1.36,1.07,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
 -giaOxJF2as.csv,0.22,0.61,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.46,1.18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
 -giaOxJF2as.csv,0.84,1.06,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,2.28,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
 -grZlXvn1Pg.csv,0.75,0.01,1.26,1.45,0.0,0.0,0.0,1.02,0.28,0.58,0.0,0.34,0.0,0.0,1.62,1.03,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
 -gt1XdBwTvk.csv,0.91,0.37,1.27,0.0,0.0,0.52,0.37,1.41,0.0,0.0,0.31,0.0,0.13,0.0,0.92,2.0,1.53,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
 -gt1XdBwTvk.csv,0.0,0.0,0.0,0.0,0.02,0.0,0.81,2.82,1.23,1.08,0.72,1.34,0.0,0.68,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
 -HmG-L3piEE.csv,0.26,0.77,1.17,1.08,0.0,0.68,0.0,1.03,0.0,0.39,1.4,0.5,0.0,0.27,0.81,2.09,1.24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
 -HmG-L3piEE.csv,1.61,1.13,0.0,0.4,0.78,0.42,1.18,0.0,0.88,0.0,1.83,1.28,0.24,0.65,1.66,1.13,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
 -HmG-L3piEE.csv,1.48,0.58,0.0,0.0,2.12,1.93,2.22,0.33,1.87,0.0,1.02,3.08,1.9,0.0,1.02,0.81,1.42,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
 -HqYdiz61kc.csv,0.05,0.0,0.0,0.6,0.26,0.03,1.14,0.0,0.16,0.0,0.0,0.0,0.11,0.06,0.0,0.0,0.15,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
 -HqYdiz61kc.csv,0.0,0.0,1.73,0.0,2.91,2.8,0.13,1.31,2.44,2.2,0.0,0.0,0.17,0.1,0.87,0.38,1.52,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
 -HqYdiz61kc.csv,0.3,0.0,0.74,1.3,0.46,1.48,0.48,0.39,0.5,0.25,0.91,0.0,0.36,0.0,1.06,0.57,0.3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
 -HqYdiz61kc.csv,0.82,0.0,0.17,0.0,0.69,2.84,0.7,0.7,0.0,0.0,0.61,0.27,0.32,0.0,0.0,0.31,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
 -HqYdiz61kc.csv,1.77,0.92,0.48,0.0,0.0,1.05,0.0,0.0,0.0,0.24,0.0,0.0,1.26,0.0,0.0,1.78,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
 -hZbzxAx9iA.csv,0.21,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.55,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
 -hZbzxAx9iA.csv,1.34,1.32,0.0,1.31,0.0,0.0,0.0,0.0,0.12,0.4,0.24,0.31,0.08,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
 -hZbzxAx9iA.csv,1.59,0.4,0.5,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.77,0.0,0.0,0.0,1.65,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
 -Io9ico0m5c.csv,1.46,0.4,0.89,1.16,0.52,1.36,0.0,0.5,0.12,0.09,0.25,1.0,0.0,0.55,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
 -Io9ico0m5c.csv,0.0,0.0,0.0,0.46,0.0,0.15,0.0,0.0,0.69,0.0,0.1,0.0,0.7,0.87,0.0,0.0,0.67,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
 -K9-pGT52pE.csv,1.14,0.0,0.19,0.0,1.8,0.54,1.13,2.72,2.34,1.82,0.25,0.08,0.0,0.0,1.67,1.51,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 -K9-pGT52pE.csv,1.65,0.84,0.15,0.0,2.61,1.08,0.0,2.1,2.37,1.28,0.0,0.0,0.0,0.0,1.98,0.31,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
 -K9-pGT52pE.csv,1.82,0.0,1.17,0.0,2.56,1.59,0.96,2.37,2.23,0.37,0.0,0.56,1.64,0.73,2.05,0.76,1.05,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
 -K9-pGT52pE.csv,0.84,0.0,0.0,0.12,2.03,1.21,0.17,1.73,3.39,0.87,0.0,0.0,0.07,0.38,2.31,0.41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
 -kFeoZh_x28.csv,0.63,0.0,1.16,0.0,0.44,0.12,0.34,1.2,0.0,0.0,0.5,1.63,0.0,0.0,0.0,0.0,2.01,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
 -kFeoZh_x28.csv,0.6,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.63,0.0,0.88,0.0,0.02,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
 -kvqIM4VbDs.csv,0.54,0.0,0.0,1.23,0.48,0.0,0.0,0.5,0.0,0.6,1.1,0.49,0.0,0.0,0.0,0.64,0.15,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
 -kvqIM4VbDs.csv,0.0,0.0,0.0,0.03,1.37,1.29,1.48,0.81,0.95,1.0,1.41,0.14,0.62,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
 -L4QaGucxdE.csv,0.37,0.26,0.0,1.52,0.24,0.0,0.84,0.0,0.53,0.0,0.75,0.15,1.56,0.0,0.57,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 -lJCXAlZAe0.csv,0.15,0.0,0.0,0.0,2.29,2.71,0.2,0.9,2.46,1.32,0.0,0.0,0.0,0.0,1.62,0.0,0.45,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
 -lJCXAlZAe0.csv,0.74,0.0,0.13,2.28,1.15,1.49,0.46,0.56,0.72,0.68,0.0,0.0,0.32,0.0,1.0,1.35,0.12,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
 -m4_BxX73qY.csv,1.56,1.65,0.0,1.77,0.22,0.0,0.0,1.51,1.35,0.89,0.0,0.0,0.0,0.0,2.83,0.93,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
 -mEmecb91MQ.csv,0.0,0.0,0.0,0.0,2.21,2.53,0.12,3.31,2.28,1.71,0.1,0.0,0.82,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 -N4O6BAzCGM.csv,0.53,0.0,1.12,0.0,0.0,1.69,0.04,0.77,0.0,0.77,1.73,2.31,0.0,0.0,0.31,2.26,0.79,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
 -N4O6BAzCGM.csv,1.66,1.09,0.0,1.29,0.0,0.0,0.24,0.96,0.0,0.95,1.51,1.42,1.51,0.0,1.08,0.77,0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
 -nSHPyaoE54.csv,1.77,0.19,2.53,1.03,0.0,0.02,1.62,2.67,0.0,0.09,1.44,0.71,0.0,0.0,0.57,1.08,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
 -OJnaNi0Pdg.csv,0.57,0.0,0.39,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.96,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
 -P495ma86r0.csv,0.0,0.0,0.0,1.33,0.0,0.0,0.11,2.25,0.3,0.25,0.49,0.0,0.99,0.0,1.62,0.31,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 -pAw3q_jRNo.csv,0.0,0.0,0.0,0.0,2.66,2.29,0.9,1.26,2.94,1.77,0.08,0.0,0.35,0.0,1.67,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
 -pAw3q_jRNo.csv,0.88,0.0,0.0,0.4,2.23,1.66,0.67,1.4,2.9,1.01,0.22,0.0,0.0,0.18,2.28,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
 -PV5_i_lVmE.csv,0.92,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
 -PV5_i_lVmE.csv,1.25,3.01,1.42,0.0,1.44,0.44,0.0,2.07,2.1,0.79,0.0,0.0,0.0,0.0,2.35,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 -PV5_i_lVmE.csv,0.47,0.0,0.55,1.25,0.0,0.0,0.0,0.39,0.91,0.75,0.65,0.0,0.13,0.45,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
 -PV5_i_lVmE.csv,1.08,0.0,1.13,0.0,0.0,1.3,0.0,0.49,0.43,1.39,0.19,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
 -PV5_i_lVmE.csv,0.72,0.34,0.0,0.0,0.43,0.0,0.0,0.0,0.62,0.8,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
 -PV5_i_lVmE.csv,0.0,0.0,0.0,1.25,0.19,0.0,0.0,0.75,0.99,1.27,0.0,0.0,0.0,0.29,0.34,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
 -PV5_i_lVmE.csv,1.0,0.0,0.79,0.36,0.0,0.0,0.0,0.0,0.34,0.42,0.33,0.0,0.0,0.38,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 -PV5_i_lVmE.csv,0.43,0.0,0.0,0.01,0.22,0.0,0.62,0.0,0.25,0.76,0.34,0.0,0.17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
 -q2IoOR3pz4.csv,0.33,0.0,0.8,0.0,0.03,1.35,0.46,0.45,0.0,0.0,0.0,0.0,0.34,0.0,2.34,0.82,1.29,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
 -q2IoOR3pz4.csv,0.0,0.0,0.0,0.0,1.68,0.43,0.0,2.64,3.03,2.38,0.0,0.0,0.0,0.75,0.56,0.0,1.04,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
 -q2IoOR3pz4.csv,0.0,0.0,0.0,0.0,1.62,1.11,0.44,1.92,2.19,2.09,0.0,0.0,0.0,0.0,2.41,2.17,0.39,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
 -qh_ENBmkk0.csv,1.33,0.26,1.73,0.0,2.31,1.6,0.83,1.38,1.1,0.89,0.34,0.0,0.05,0.0,2.03,0.7,0.89,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
 -qN07wMNGHI.csv,0.35,0.0,0.77,0.0,2.56,2.31,1.13,2.68,2.54,0.21,0.0,0.4,0.67,0.74,2.14,0.5,1.03,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
 -qN07wMNGHI.csv,0.19,0.0,0.0,0.0,3.1,3.05,0.74,2.97,3.25,0.75,1.33,0.0,0.0,0.98,2.76,0.19,1.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
 -r0_RiUKMwI.csv,2.2,0.49,0.5,2.34,0.66,0.0,0.4,1.42,0.18,0.0,0.89,0.45,0.0,0.0,1.97,0.65,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 -sCaX_y8--A.csv,1.06,0.4,0.71,0.5,0.71,0.04,0.0,0.12,1.27,0.0,1.2,0.0,0.69,0.0,0.71,0.0,1.07,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
 -sLNP_kZwL4.csv,2.87,1.29,0.0,0.09,0.0,0.18,0.0,0.0,1.92,0.2,0.01,0.0,0.0,0.0,2.14,1.35,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
 -uGZw7dEo0M.csv,0.0,0.0,0.48,0.06,0.0,1.68,1.06,0.0,0.0,0.0,4.94,0.0,0.0,0.25,0.39,2.32,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
 -uihp4i1xNk.csv,1.47,0.0,1.94,0.0,0.68,2.25,0.77,0.35,1.05,0.0,1.07,0.03,1.06,0.07,0.0,0.0,0.36,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
 -uihp4i1xNk.csv,2.18,0.11,0.71,0.58,0.03,1.41,0.0,3.23,0.5,0.0,0.19,1.4,1.28,0.0,0.0,1.79,0.08,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
 -uihp4i1xNk.csv,0.81,0.0,0.0,2.57,0.68,0.58,0.0,0.77,0.03,0.0,1.29,0.0,0.0,0.07,2.23,3.56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
 -uihp4i1xNk.csv,0.41,0.0,0.0,0.0,0.98,0.0,0.53,1.52,0.97,0.04,0.89,0.47,0.6,0.0,0.28,0.73,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 -W9wcP2CrNQ.csv,1.17,0.09,0.0,0.0,1.34,1.03,0.27,1.37,2.23,0.22,0.0,0.0,0.0,0.0,3.73,2.38,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
 -W9wcP2CrNQ.csv,0.0,0.0,1.52,0.0,0.58,0.08,0.0,0.0,0.51,0.0,0.43,0.0,0.0,0.0,1.18,0.0,0.59,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
