,View Count,Like Count,Comment Count
AU01_r,-0.0107255810633598,-0.003463737440656571,-0.001291583899255415
AU02_r,-0.014495658732753986,-0.007339861882841357,-0.010764806673710593
AU04_r,0.04827070813228263,0.04996489351579282,0.04457487332642593
AU05_r,-0.0050363523339797215,-0.0011558257651533052,-0.002082429654256408
AU06_r,-0.02847822995549218,-0.031991681328531536,-0.027894450281289444
AU07_r,0.006332985721559658,0.0033893358875682813,0.005459953852214099
AU09_r,-0.01726175333372057,-0.020266485681863268,-0.0005016207806409293
AU10_r,-0.015757026120768798,-0.017107586214455087,-0.025138012589164566
AU12_r,-0.025839850969914757,-0.02721931522758016,-0.038194208585112424
AU14_r,0.0009582825744725204,-0.0035252026414710736,-0.012773872715139316
AU15_r,0.0028475455855284646,0.0007297556050343263,-0.0020617253407705146
AU17_r,0.04580671320216084,0.044739350297078095,0.0262653145429825
AU20_r,-0.003169942910030855,-0.0010195663184890385,-0.008839513770748597
AU23_r,0.00043837905710991166,-0.002412708526625954,-0.0049264252756868205
AU25_r,-0.019762763899092105,-0.014611918227159133,-0.023654878227234128
AU26_r,0.018464109389343487,0.019446977272711816,0.007010710408099734
AU45_r,-0.018952422593523515,-0.014915943291253494,-0.011273188855834282
