,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
View Count,0.09197900286735446,0.0474231241583531,0.047575865407486026,-0.16543483409053455,0.2935761729529647,0.20022692468273004,0.11729969438643434,0.22057969601592012,0.23771243043820245,0.12270266848511338,-0.0450144375554096,-0.039434838134865355,-0.09964336805823373,-0.11821986506278437,0.13019784965035192,0.08737031219180574,0.00954859755140103
Like Count,0.075440577775289,0.012568617153979986,0.12917589848533637,-0.1520643998339301,0.2130507472383973,0.344887423539944,0.22881464098414583,0.1488528593680006,0.10488250582185926,0.14892785257040428,0.01930583214519909,0.021106942601250442,-0.1531846442771988,-0.08053193333652937,0.08303981142177029,0.14460106511190937,0.058068533466396836
Comment Count,0.013701465855247936,0.045697568302107354,0.17529532776291268,-0.09085952366795629,0.17562246497993206,0.3971846426755603,0.3382522190731616,0.14534630575967294,0.03545079957892112,0.18952403041005203,0.021156292366473557,0.04163404157502946,-0.09656985197708895,-0.041946112498115765,0.12508089520642804,0.2200065320575444,0.018749783691326502
